case,stage,J,T_target_C,t_plan_s,K_P,K_I,taper_K,hold_s,q_boost_min,ice_warn,delta_V,risk_warn,L_obs,rate_gain,ff_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case1,DE_seed20260926,1.04056510322,2.02791457312,41.7951644262,0.120305930318,0.00537137529881,1.41371151002,2,0.6,0.8,0.1,0.7,0.02,0.335517479757,1,57.4453330994,59.4453330994,59.4453330994,3303.73112403,940.132408353,1.05625404467,219.447044368,4025.47274206,2.51247911365e-11,-4.30970363563e-20,0.608119646566,0.0827770342725,6.6832046647,0.563039502488,7.24624416719,-17.4242445414,0.358920195154,0.0107766214613,0.433085516812,0,9.96836391209e-10,1,8.24991573724,0.563039502488,0.608119646566,0.0826116808241,0,3204.36026834,1.09233368878e-19,True
case1,DE_seed20260926,0.913460739318,1.1123542137,89.555201504,0.253236455377,0.014485117458,1.15411324151,2,0.6,0.8,0.1,0.7,0.02,0.177981501983,1,86.3206086397,88.3206086397,88.3206086397,2879.18575164,1952.50617226,14.7136126327,271.656393321,4574.74914321,-4.37694325228e-12,1.87160400025e-18,0.560296000916,0.276851233474,6.31342133802,0.192326812937,6.50574815096,-14.5453350476,0.295761662876,0.0120977552712,0.433085516812,0,9.93598092691e-10,0.998302221925,16.8961825919,0.192326812937,0.585290276127,0.276580604108,0,2793.12701985,2.48580453097e-18,True
case1,DE_seed20260926,1.00419051579,3.12004146056,56.0110785963,0.631116071792,0.0270798736755,1.17401709861,2,0.6,0.8,0.1,0.7,0.02,0.392668348883,1,62.8998126745,64.8998126745,64.8998126745,3183.82679136,1131.51815813,3.98674361485,224.508990805,4094.82270229,9.09494701773e-12,4.55364912444e-20,0.598361734019,0.117070947938,6.71108948604,0.577143624555,7.2882331106,-17.0860207685,0.346629400426,0.0110864703988,0.433085516812,0,9.93415127937e-10,1,9.86994380236,0.577143624555,0.603697577433,0.11683526515,0,3083.82679136,3.08184467529e-19,True
case1,DE_seed20260926,0.958160153401,3.23002745489,78.1648770476,0.562618404138,0.0105297568292,1.9294922203,2,0.6,0.8,0.1,0.7,0.02,0.289826007186,1,74.2628171921,76.2628171921,76.2628171921,3029.6617043,1529.81407361,9.2694568789,245.147752075,4323.59748272,1.59730006999e-11,1.93828243386e-18,0.579564730108,0.187250691181,6.13654420024,0.582278588959,6.7188227892,-15.8814199452,0.321853736766,0.011545604271,0.433085516812,0,9.9735331105e-10,1,13.2788451576,0.582278588959,0.596325018129,0.186870895831,0,2929.6617043,1.93828243386e-18,True
case1,DE_seed20260926,11.0910226229,0.370798229463,74.1399636989,0.465918837549,0.0353330226349,1.0620198124,2,0.6,0.8,0.1,0.7,0.02,0.0490787020125,1,75.9399106979,-1,96.6666666667,3501.64737622,2197.11438697,4.82563043642,360.089830403,5343.49756322,1.36992639455e-11,1.22807580077e-17,0.575977688245,0.200430756472,9.341176995,0.0821618847996,9.2925944207,-10.9015280982,0.29336083161,0.0123788927235,0.433085516812,0,9.99019533765e-10,1,13.7819732094,-30,1.26757512098,0,0,2902.99289884,1.22807580077e-17,False
case1,DE_seed20260926,1.09818092744,2.40783735139,20.1100006668,0.241936752151,0.0290094693921,1.54516029174,2,0.6,0.8,0.1,0.7,0.02,0.156053550115,1,49.6918544054,51.6918544054,51.6918544054,3492.13447053,693.218921721,-1.49242509655,217.504427361,3966.35653979,-1.95257143787e-11,1.69948690537e-19,0.622205168337,0.0425229788236,10.8247497916,0.527572767622,6.77870025747,-17.6633671922,0.374853922776,0.00913802673515,0.433085516812,0,9.93050086606e-10,1,6.17320098562,0.527572767622,0.622205168337,0.042445484281,0,3392.13447053,1.72388145425e-19,True
case1,DE_seed20260926,1.11391891982,2.84783374079,8.8311503596,0.424341720279,0.0492514942835,1.75873967428,2,0.6,0.8,0.1,0.7,0.02,0.0901333598558,1,47.1340627432,49.1340627432,49.1340627432,3543.10044342,621.302489509,-1.8117501509,216.400588442,3946.19059433,-1.5319301383e-11,2.9002408114e-20,0.626575120832,0.0328777152928,15.076931815,0.507516865293,6.67023730632,-17.7494781208,0.379238457387,0.00862398692297,0.433085516812,0,8.8181639768e-10,1,5.5540496767,0.507516865293,0.626575120832,0.032820054406,0,3443.10044342,7.52165257162e-20,True
case1,DE_seed20260926,0.936166346286,2.46386081882,84.2601483318,0.0987506311153,0.0552764262327,0.2298040563,2,0.6,0.8,0.1,0.7,0.02,0.117224752751,1,79.1644375324,81.1644375324,81.1644375324,2956.26296259,1702.18717596,11.6417052073,253.950952043,4416.14089171,-6.99174051988e-12,2.76037873115e-18,0.569864803037,0.225083761688,6.0367042535,0.590273115642,6.62697736914,-15.4076209154,0.310761872708,0.0117617658074,0.433085516812,0,9.9763397543e-10,1,14.7493312597,0.590273115642,0.592025517604,0.224620471698,0,2856.26296259,2.76037873115e-18,True
case1,DE_seed20260926,0.985843796983,1.85993611624,65.052040525,0.384385156241,0.0520103436014,0.680041674128,2,0.6,0.8,0.1,0.7,0.02,0.170038193249,1,70.0405129433,72.0405129433,72.0405129433,3120.96403726,1379.91859164,7.10303766801,241.471644558,4266.514022,-1.03455022327e-11,1.16578838597e-18,0.587508246434,0.155193834256,6.09228551671,0.588768607726,6.68105412444,-16.1645945081,0.332300838719,0.0113630017806,0.433085516812,0,9.97593119223e-10,1,12.012153883,0.588768607726,0.600093756283,0.154875431821,0,3020.96403726,1.16578838597e-18,True
case1,DE_seed20260926,1.14009992242,0.732271011763,27.039770084,0.200813397691,0.00213360920781,0.838090286117,2,0.6,0.8,0.1,0.7,0.02,0.232894762919,1,53.8129915476,61.1,61.1,3621.82163318,982.10732114,-1.45757790694,255.99933677,4346.47203964,-5.48538992007e-12,8.03935910898e-19,0.61064698125,0.0587598835443,8.38987121028,0.00787122407521,8.39774243436,-15.840672339,0.363290322136,0.0109197717675,0.433085516812,0,9.98167326571e-10,1,7.23959514825,0.00787122407521,0.610995528796,0.0587457984436,0,3347.89005987,8.03935910898e-19,True
