cooling_min,cv,x_mm,dx_mm,layer,material,node,capacity_J_m2K,k_W_mK,temperature_C
65.0,96,19.175549999999994,0.0375,cell4_cGDL,cGDL,T4_C,3.7809375,0.3,-27.645944948002178
65.0,97,19.213049999999992,0.0375,cell4_cGDL,cGDL,T4_C,3.7809375,0.3,-27.64668898916023
65.0,98,19.25054999999999,0.0375,cell4_cGDL,cGDL,T4_C,3.7809375,0.3,-27.647433932170614
65.0,99,19.28804999999999,0.0375,cell4_cGDL,cGDL,T4_C,3.7809375,0.3,-27.648179776747845
65.0,100,19.47346666666666,0.3333333333333333,BP4,BP,T4_C,505.56,95.0,-27.6485636303206
65.0,101,19.806799999999996,0.3333333333333333,BP4,BP,T4_C,505.56,95.0,-27.648587973873155
65.0,102,20.14013333333333,0.3333333333333333,BP4,BP,T4_C,505.56,95.0,-27.648615699656006
65.0,103,20.473466666666667,0.3333333333333333,BP4,BP,T5_C,505.56,95.0,-27.648646807629262
65.0,104,20.8068,0.3333333333333333,BP4,BP,T5_C,505.56,95.0,-27.64868129774819
65.0,105,21.140133333333335,0.3333333333333333,BP4,BP,T5_C,505.56,95.0,-27.648719169963176
65.0,106,21.32555,0.0375,cell5_aGDL,aGDL,T5_C,3.7809375,0.3,-27.649474638536535
65.0,107,21.363049999999998,0.0375,cell5_aGDL,aGDL,T5_C,3.7809375,0.3,-27.65094522221149
65.0,108,21.40055,0.0375,cell5_aGDL,aGDL,T5_C,3.7809375,0.3,-27.652416706107672
65.0,109,21.438049999999997,0.0375,cell5_aGDL,aGDL,T5_C,3.7809375,0.3,-27.653889089661174
65.0,110,21.457649999999997,0.0017000000000000001,cell5_aCL,aCL,T5_C,0.39576,0.27,-27.654662835880735
65.0,111,21.459349999999997,0.0017000000000000001,cell5_aCL,aCL,T5_C,0.39576,0.27,-27.65473705041211
65.0,112,21.463199999999997,0.006,cell5_PEM,PEM,T5_C,13.545,0.24,-27.65492150712733
65.0,113,21.469199999999997,0.006,cell5_PEM,PEM,T5_C,13.545,0.24,-27.655216845194524
65.0,114,21.475024999999995,0.0056500000000000005,cell5_cCL,cCL,T5_C,1.31532,0.27,-27.655488710044274
65.0,115,21.480674999999994,0.0056500000000000005,cell5_cCL,cCL,T5_C,1.31532,0.27,-27.655736510176602
65.0,116,21.502249999999993,0.0375,cell5_cGDL,cGDL,T5_C,3.7809375,0.3,-27.65660070368353
65.0,117,21.539749999999994,0.0375,cell5_cGDL,cGDL,T5_C,3.7809375,0.3,-27.65808213629879
65.0,118,21.577249999999992,0.0375,cell5_cGDL,cGDL,T5_C,3.7809375,0.3,-27.65956446640022
65.0,119,21.61474999999999,0.0375,cell5_cGDL,cGDL,T5_C,3.7809375,0.3,-27.66104769341975
65.0,120,21.800166666666662,0.3333333333333333,BP5,BP,T5_C,505.56,95.0,-27.661810584906036
65.0,121,22.133499999999998,0.3333333333333333,BP5,BP,T5_C,505.56,95.0,-27.6618556077205
65.0,122,22.46683333333333,0.3333333333333333,BP5,BP,T5_C,505.56,95.0,-27.66190399368132
65.0,123,22.800166666666666,0.3333333333333333,BP5,BP,T5_C,505.56,95.0,-27.661955742718902
65.0,124,23.1335,0.3333333333333333,BP5,BP,T5_C,505.56,95.0,-27.66201085475881
65.0,125,23.466833333333337,0.3333333333333333,BP5,BP,T5_C,505.56,95.0,-27.66206932972177
65.0,126,23.8835,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.66239397818177
65.0,127,24.3835,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.663106222694623
65.0,128,24.8835,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.66394321458141
65.0,129,25.383500000000005,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.664904909162072
65.0,130,25.883500000000005,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.66599125509972
65.0,131,26.383500000000005,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.66720219440335
65.0,132,26.883500000000005,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.668537662430964
65.0,133,27.383500000000005,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.669997587892997
65.0,134,27.883500000000005,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.671581892856135
65.0,135,28.383500000000005,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.673290492747487
65.0,136,28.883500000000005,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.67512329635907
65.0,137,29.383500000000005,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.67708020585271
65.0,138,29.88350000000001,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.679161116765236
65.0,139,30.38350000000001,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.68136591801408
65.0,140,30.88350000000001,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.68369449190319
65.0,141,31.38350000000001,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.686146714129322
65.0,142,31.88350000000001,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.68872245378867
65.0,143,32.38350000000001,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.691421573383867
65.0,144,32.88350000000001,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.6942439288313
65.0,145,33.38350000000001,0.5,EP_R,EP,TER_C,1975.0,15.0,-27.697189369468827
70.0,0,0.25,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.194390793483894
70.0,1,0.75,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.192081304956332
70.0,2,1.25,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.189868326210973
70.0,3,1.75,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.1877519753804
70.0,4,2.2500000000000004,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.185732365439033
70.0,5,2.75,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.183809604197087
70.0,6,3.2500000000000004,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.18198379429484
70.0,7,3.75,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.18025503319713
70.0,8,4.25,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.178623413188184
70.0,9,4.750000000000001,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.177089021366648
70.0,10,5.250000000000001,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.17565193964098
70.0,11,5.750000000000002,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.174312244725048
70.0,12,6.250000000000002,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.173070008134054
70.0,13,6.750000000000003,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.171925296180707
70.0,14,7.250000000000003,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.170878169971676
70.0,15,7.7500000000000036,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.16992868540435
70.0,16,8.250000000000004,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.16907689316383
70.0,17,8.750000000000004,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.16832283872024
70.0,18,9.250000000000005,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.16766656232629
70.0,19,9.750000000000005,0.5,EP_L,EP,TEL_C,1975.0,15.0,-28.167108099015135
70.0,20,10.166666666666671,0.3333333333333333,BP0,BP,T1_C,505.56,95.0,-28.166853545626992
70.0,21,10.500000000000004,0.3333333333333333,BP0,BP,T1_C,505.56,95.0,-28.166807696033423
70.0,22,10.833333333333337,0.3333333333333333,BP0,BP,T1_C,505.56,95.0,-28.166764483271884
70.0,23,11.16666666666667,0.3333333333333333,BP0,BP,T1_C,505.56,95.0,-28.16672390740453
70.0,24,11.500000000000004,0.3333333333333333,BP0,BP,T1_C,505.56,95.0,-28.166685968489723
70.0,25,11.833333333333336,0.3333333333333333,BP0,BP,T1_C,505.56,95.0,-28.166650666582036
70.0,26,12.018750000000004,0.0375,cell1_aGDL,aGDL,T1_C,3.7809375,0.3,-28.166052491520222
70.0,27,12.056250000000002,0.0375,cell1_aGDL,aGDL,T1_C,3.7809375,0.3,-28.164889509064604
70.0,28,12.093750000000002,0.0375,cell1_aGDL,aGDL,T1_C,3.7809375,0.3,-28.163727229872887
70.0,29,12.131250000000001,0.0375,cell1_aGDL,aGDL,T1_C,3.7809375,0.3,-28.162565654390484
70.0,30,12.150850000000002,0.0017000000000000001,cell1_aCL,aCL,T1_C,0.39576,0.27,-28.161955981967143
70.0,31,12.152550000000002,0.0017000000000000001,cell1_aCL,aCL,T1_C,0.39576,0.27,-28.16189751216221
70.0,32,12.156400000000003,0.006,cell1_PEM,PEM,T1_C,13.545,0.24,-28.161752206730156
70.0,33,12.162400000000003,0.006,cell1_PEM,PEM,T1_C,13.545,0.24,-28.16152056669931
70.0,34,12.168225000000003,0.0056500000000000005,cell1_cCL,cCL,T1_C,1.31532,0.27,-28.16130826471488
70.0,35,12.173875000000002,0.0056500000000000005,cell1_cCL,cCL,T1_C,1.31532,0.27,-28.161114837007627
70.0,36,12.195450000000001,0.0375,cell1_cGDL,cGDL,T1_C,3.7809375,0.3,-28.160440550755176
70.0,37,12.23295,0.0375,cell1_cGDL,cGDL,T1_C,3.7809375,0.3,-28.159286069885454
