t_s,x_um,dx_um,layer,T_C,lambda_unfrozen,mv_kg_m3,ml_kg_m3,mi_kg_m3,ice_bulk,gas_porosity
0.4,79.6874999999986,9.375,aGDL,-19.988075402023668,0.0,8.848698121811379e-07,0.0,0.0,0.0,0.8
0.4,89.06249999999844,9.375,aGDL,-19.987385648655078,0.0,9.889695230019072e-07,0.0,0.0,0.0,0.8
0.4,98.43749999999827,9.375,aGDL,-19.986765107502777,0.0,1.0930688241180382e-06,0.0,0.0,0.0,0.8
0.4,107.8124999999981,9.375,aGDL,-19.9862137733964,0.0,1.1971677567603837e-06,0.0,0.0,0.0,0.8
0.4,117.18749999999794,9.375,aGDL,-19.985731641672942,0.0,1.3012663621555984e-06,0.0,0.0,0.0,0.8
0.4,126.56249999999777,9.375,aGDL,-19.985318708177147,0.0,1.4053646815265832e-06,0.0,0.0,0.0,0.8
0.4,135.9374999999976,9.375,aGDL,-19.98497496926123,0.0,1.5094627560929304e-06,0.0,0.0,0.0,0.8
0.4,145.31249999999744,9.375,aGDL,-19.984700421784936,0.0,1.6135606270713667e-06,0.0,0.0,0.0,0.8
0.4,150.28333333333075,0.5666666666666668,aCL,-19.984592294719903,0.0,8.198125283470832e-07,0.0,0.0,0.0,0.3916
0.4,150.84999999999752,0.5666666666666668,aCL,-19.984581600615797,0.0,8.288058718692279e-07,0.0,0.0,0.0,0.3916
0.4,151.4166666666643,0.5666666666666668,aCL,-19.984571107855658,0.0,8.377992147908657e-07,0.0,0.0,0.0,0.3916
0.4,151.98333333333105,0.5666666666666668,aCL,-19.984560816427006,0.0,8.467925571221428e-07,0.0,0.0,0.0,0.3916
0.4,152.54999999999782,0.5666666666666668,aCL,-19.984550726317536,0.0,8.557858988732037e-07,0.0,0.0,0.0,0.3916
0.4,153.1166666666646,0.5666666666666668,aCL,-19.984540837515112,0.0,8.64779240054193e-07,0.0,0.0,0.0,0.3916
0.4,153.89999999999804,1.0,PEM,-19.984528131796623,2.9874030216611405,0.0,115.61249693828613,0.0,0.0,0.0
0.4,154.8999999999982,1.0,PEM,-19.984505788846292,2.990608591122632,0.0,115.73655247644585,0.0,0.0,0.0
0.4,155.8999999999983,1.0,PEM,-19.984483860877532,2.993122147302283,0.0,115.83382710059834,0.0,0.0,0.0
0.4,156.89999999999844,1.0,PEM,-19.984462347667204,2.995241221385204,0.0,115.91583526760738,0.0,0.0,0.0
0.4,157.89999999999858,1.0,PEM,-19.984441249001748,2.9970546682733534,0.0,115.98601566217877,0.0,0.0,0.0
0.4,158.8999999999987,1.0,PEM,-19.984420564676213,2.998658578444315,0.0,116.04808698579498,0.0,0.0,0.0
0.4,159.89999999999884,1.0,PEM,-19.98440029450552,3.000153532901765,0.0,116.1059417232983,0.0001354781380146666,1.4725884566811587e-07,0.0
0.4,160.89999999999898,1.0,PEM,-19.984380438974313,3.001641347144549,0.0,116.16352013449404,0.0009216604881039511,1.0018048783738598e-06,0.0
0.4,161.89999999999912,1.0,PEM,-19.98436100381761,3.003227789899818,0.0,116.22491546912293,0.0018354854114935322,1.9950928385799264e-06,0.0
0.4,162.89999999999924,1.0,PEM,-19.98434199512178,3.0050147696916953,0.0,116.2940715870686,0.0029997370520982603,3.260583752280718e-06,0.0
0.4,163.89999999999938,1.0,PEM,-19.984323419784573,3.0071002254920804,0.0,116.3747787265435,0.004553151347634864,4.949077551777026e-06,0.0
0.4,164.89999999999952,1.0,PEM,-19.98430528588935,3.009517611997171,0.0,116.46833158429051,0.006522927880856381,7.0901390009308495e-06,0.0
0.4,166.1062499999995,1.4125,cCL,-19.984267374951145,0.0,8.859594308469834e-06,0.1352072631236859,0.002253166636209026,2.4490941697924195e-06,0.42056097791277597
0.4,167.51874999999936,1.4125,cCL,-19.984217389214848,0.0,8.790335296452189e-06,0.20318887339349853,0.0030003693942119306,3.261271080665142e-06,0.4204914974426633
0.4,168.9312499999992,1.4125,cCL,-19.984169210841685,0.0,8.72246117499281e-06,0.20319114689172427,0.0030003733239001413,3.261275352065371e-06,0.4204914951419291
0.4,170.34374999999906,1.4125,cCL,-19.984122833032842,0.0,8.654516850760384e-06,0.20319112602658268,0.0030003663777659634,3.2612678019195254e-06,0.42049149517055506
0.4,171.75624999999891,1.4125,cCL,-19.984078255576264,0.0,8.586502263782269e-06,0.203191104841548,0.0030003596667280276,3.2612605073130735e-06,0.4204914951992487
0.4,173.16874999999877,1.4125,cCL,-19.98403547827479,0.0,8.518417402482968e-06,0.2031910834140318,0.003000353191008061,3.2612534684870225e-06,0.4204914952279315
0.4,174.58124999999862,1.4125,cCL,-19.983994500946096,0.0,8.450262255280466e-06,0.2031910616882551,0.0030003469503959755,3.261246685213017e-06,0.42049149525666
0.4,175.99374999999847,1.4125,cCL,-19.983955323422464,0.0,8.382036842621802e-06,0.20318946689591508,0.003000332678218751,3.2612311719769033e-06,0.4204914968830746
0.4,181.3874999999983,9.375,cGDL,-19.98368925497789,0.0,5.195431031684951e-06,0.0,0.0,0.0,0.8
0.4,190.76249999999814,9.375,cGDL,-19.983364202079457,0.0,4.826218161004992e-06,0.0,0.0,0.0,0.8
0.4,200.13749999999797,9.375,cGDL,-19.983208861922833,0.0,4.493383220522469e-06,0.0,0.0,0.0,0.8
0.4,209.5124999999978,9.375,cGDL,-19.98322323610276,0.0,4.160548558528199e-06,0.0,0.0,0.0,0.8
0.4,218.88749999999763,9.375,cGDL,-19.98340732928159,0.0,3.827713833485703e-06,0.0,0.0,0.0,0.8
0.4,228.2624999999975,9.375,cGDL,-19.98376114918966,0.0,3.4948787038432007e-06,0.0,0.0,0.0,0.8
0.4,237.63749999999732,9.375,cGDL,-19.984284706625317,0.0,3.1620428280245444e-06,0.0,0.0,0.0,0.8
0.4,247.01249999999715,9.375,cGDL,-19.984978015454914,0.0,2.829205864420159e-06,0.0,0.0,0.0,0.8
0.4,256.387499999997,9.375,cGDL,-19.98584109261293,0.0,2.496367471377979e-06,0.0,0.0,0.0,0.8
0.4,265.7624999999968,9.375,cGDL,-19.986873958101995,0.0,2.1635273071943845e-06,0.0,0.0,0.0,0.8
0.4,275.13749999999663,9.375,cGDL,-19.988076634993263,0.0,1.8306850301051346e-06,0.0,0.0,0.0,0.8
0.4,284.51249999999646,9.375,cGDL,-19.98944914942615,0.0,1.4978402982763008e-06,0.0,0.0,0.0,0.8
0.4,293.8874999999963,9.375,cGDL,-19.99099153060868,0.0,1.1649927697951975e-06,0.0,0.0,0.0,0.8
0.4,303.2624999999962,9.375,cGDL,-19.99270381081763,0.0,8.321421026613113e-07,0.0,0.0,0.0,0.8
0.4,312.637499999996,9.375,cGDL,-19.994586025398405,0.0,4.992879547772279e-07,0.0,0.0,0.0,0.8
0.4,322.01249999999584,9.375,cGDL,-19.996638212765305,0.0,1.664299839395559e-07,0.0,0.0,0.0,0.8
0.4,451.69999999999584,250.0,cBP,-19.997773947741308,0.0,0.0,0.0,0.0,0.0,0.0
0.4,701.6999999999961,250.0,cBP,-19.997816992691725,0.0,0.0,0.0,0.0,0.0,0.0
0.4,951.6999999999963,250.0,cBP,-19.99785385077405,0.0,0.0,0.0,0.0,0.0,0.0
0.4,1201.6999999999964,250.0,cBP,-19.997884553353174,0.0,0.0,0.0,0.0,0.0,0.0
0.4,1451.6999999999966,250.0,cBP,-19.997909126666087,0.0,0.0,0.0,0.0,0.0,0.0
0.4,1701.6999999999969,250.0,cBP,-19.997927591825288,0.0,0.0,0.0,0.0,0.0,0.0
0.4,1951.699999999997,250.0,cBP,-19.99793996482211,0.0,0.0,0.0,0.0,0.0,0.0
0.4,2201.6999999999975,250.0,cBP,-19.997946256528905,0.0,0.0,0.0,0.0,0.0,0.0
0.6,-1875.0,250.0,aBP,-19.995226882302205,0.0,0.0,0.0,0.0,0.0,0.0
0.6,-1625.0000000000002,250.0,aBP,-19.995217400546153,0.0,0.0,0.0,0.0,0.0,0.0
0.6,-1375.0,250.0,aBP,-19.995198938871738,0.0,0.0,0.0,0.0,0.0,0.0
0.6,-1125.0000000000002,250.0,aBP,-19.99517149708626,0.0,0.0,0.0,0.0,0.0,0.0
0.6,-874.9999999999999,250.0,aBP,-19.99513507537472,0.0,0.0,0.0,0.0,0.0,0.0
0.6,-625.0000000000001,250.0,aBP,-19.995089674301624,0.0,0.0,0.0,0.0,0.0,0.0
0.6,-374.9999999999999,250.0,aBP,-19.995035294813306,0.0,0.0,0.0,0.0,0.0,0.0
0.6,-125.00000000000011,250.0,aBP,-19.994971938240383,0.0,0.0,0.0,0.0,0.0,0.0
0.6,4.687499999999917,9.375,aGDL,-19.994270819403198,0.0,5.199709103897268e-08,0.0,0.0,0.0,0.8
