model,condition,parameter,multiplier,kind,t_s,V_model_V,T_model_C,ice_max_bulk,ice_pore_max_bulk,ice_mem_max_bulk,water_ice_kg_m2,model_valid,ever_invalid
bp,minus20,all_phase_rates,10.0,common_phase_timescale,11.2,0.5993258276811528,-19.460908713639725,0.022350921532994037,0.019104978379068802,0.022350921532994037,0.00025452939423959553,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,11.4,0.5940453265092452,-19.42016534243521,0.02417599585599983,0.02034157166264054,0.02417599585599983,0.0002745702415177951,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,11.6,0.5931454054790556,-19.378630671638376,0.026079890291168778,0.021614059378446113,0.026079890291168778,0.00029556632137534526,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,11.8,0.5895895951700054,-19.335655418842748,0.028043840830512774,0.022917271295471466,0.028043840830512774,0.0003174335128243949,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,12.0,0.5871263959374275,-19.291255260252996,0.030070766884514814,0.024250471589075756,0.030070766884514814,0.00034016585604634613,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,12.2,0.5826629067402173,-19.24459013128208,0.032162043000766756,0.02561349822064621,0.032162043000766756,0.00036376968862812534,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,12.4,0.5797705485531149,-19.19613553104071,0.0343274453987426,0.02700886765591759,0.0343274453987426,0.0003883084311351216,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,12.6,0.5769020378059362,-19.14618714208504,0.036561332157063406,0.028435722564269118,0.036561332157063406,0.00041378338521033393,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,12.8,0.5745388451381758,-19.09495401257766,0.03885760642497845,0.029892190732516182,0.03885760642497845,0.00044017040073163503,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,13.0,0.5721877996641059,-19.042508335105936,0.04120864490378201,0.03137586393891087,0.04120864490378201,0.00046742925050703,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,13.2,0.5693818871489056,-18.988552435556386,0.04361117384065698,0.03289311708874673,0.04361117384065698,0.0004955304455508027,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,13.4,0.5670616889927506,-18.93328629969139,0.04606496354381464,0.03444129384591314,0.04606496354381464,0.0005244671321256671,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,13.6,0.5638388194192155,-18.876248160697685,0.04856924951478776,0.0360143726048087,0.04856924951478776,0.000554229978848566,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,13.8,0.5615490600781363,-18.817819900232905,0.05112692948468455,0.037612888952058554,0.05112692948468455,0.0005848353833403724,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,14.0,0.5606097934319502,-18.759031067224697,0.053727427703113846,0.03923443968506364,0.053727427703113846,0.000616245197357608,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,14.2,0.5596637160745487,-18.70006758679679,0.056353326261660903,0.040873802067263494,0.056353326261660903,0.0006483534259715405,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,14.4,0.5596122916747635,-18.641427749779893,0.0589911007234697,0.042526267850280595,0.0589911007234697,0.0006810492208189369,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,14.6,0.5595579871422984,-18.58326592529005,0.06162626697290768,0.044186845742487386,0.06162626697290768,0.000714206305629003,1,0
