case,seed,noise_T_K,noise_V_V,initial_shift_K,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,feasible
case2,1009,0.2,0.005,-1,93.3631731808,95.3631731808,95.3631731808,0,2103.89246832,0.51516645175,458.337187332,1646.07044744,-1.3073986338e-11,9.3482079716e-17,0.591993894145,0.169079857817,8.77936751658,0.196177536425,8.89177042168,-5.17383709886,0.313293585126,0.0122200228276,0.625060585585,0,9.29919252712e-10,0,19.0089519542,0.196177536425,0.605968490158,0.168959852141,0,0,9.36468784463e-17,True
case2,1000,0.2,0.005,0,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,1001,0.2,0.005,0,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,1002,0.2,0.005,0,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,1003,0.2,0.005,0,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,1004,0.2,0.005,0,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,1005,0.2,0.005,0,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,1006,0.2,0.005,0,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,1007,0.2,0.005,0,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,1008,0.2,0.005,0,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,1009,0.2,0.005,0,84.7245963216,86.7245963216,86.7245963216,0,1818.46819909,-0.254025363663,422.683673877,1395.53049985,1.1078782336e-10,3.56355570053e-17,0.59647254395,0.135272828288,8.83425893993,0.209030238911,9.04328917885,-5.2241337814,0.327938506344,0.0118520918901,0.63677214954,0,9.73757963152e-10,0,16.4173788965,0.209030238911,0.608813441971,0.135170380875,0,0,3.56355570053e-17,True
case2,1000,0.2,0.005,1,76.7750765502,78.7750765502,78.7750765502,0,1556.90360182,-0.820711709717,389.733756794,1166.34913332,5.75255398871e-11,1.12334187091e-17,0.600959968468,0.106968180261,8.78473326747,0.23124927153,9.015982539,-5.15067310368,0.341276073148,0.0115354096469,0.648596213198,0,9.3143270874e-10,0,14.0325229651,0.23124927153,0.610921612196,0.106878384337,0,0,1.53617895314e-17,True
case2,1001,0.2,0.005,1,76.7750765502,78.7750765502,78.7750765502,0,1556.90360182,-0.820711709717,389.733756794,1166.34913332,5.75255398871e-11,1.12334187091e-17,0.600959968468,0.106968180261,8.78473326747,0.23124927153,9.015982539,-5.15067310368,0.341276073148,0.0115354096469,0.648596213198,0,9.3143270874e-10,0,14.0325229651,0.23124927153,0.610921612196,0.106878384337,0,0,1.53617895314e-17,True
case2,1002,0.2,0.005,1,76.7750765502,78.7750765502,78.7750765502,0,1556.90360182,-0.820711709717,389.733756794,1166.34913332,5.75255398871e-11,1.12334187091e-17,0.600959968468,0.106968180261,8.78473326747,0.23124927153,9.015982539,-5.15067310368,0.341276073148,0.0115354096469,0.648596213198,0,9.3143270874e-10,0,14.0325229651,0.23124927153,0.610921612196,0.106878384337,0,0,1.53617895314e-17,True
case2,1003,0.2,0.005,1,76.7750765502,78.7750765502,78.7750765502,0,1556.90360182,-0.820711709717,389.733756794,1166.34913332,5.75255398871e-11,1.12334187091e-17,0.600959968468,0.106968180261,8.78473326747,0.23124927153,9.015982539,-5.15067310368,0.341276073148,0.0115354096469,0.648596213198,0,9.3143270874e-10,0,14.0325229651,0.23124927153,0.610921612196,0.106878384337,0,0,1.53617895314e-17,True
case2,1004,0.2,0.005,1,76.7750765502,78.7750765502,78.7750765502,0,1556.90360182,-0.820711709717,389.733756794,1166.34913332,5.75255398871e-11,1.12334187091e-17,0.600959968468,0.106968180261,8.78473326747,0.23124927153,9.015982539,-5.15067310368,0.341276073148,0.0115354096469,0.648596213198,0,9.3143270874e-10,0,14.0325229651,0.23124927153,0.610921612196,0.106878384337,0,0,1.53617895314e-17,True
case2,1005,0.2,0.005,1,76.7750765502,78.7750765502,78.7750765502,0,1556.90360182,-0.820711709717,389.733756794,1166.34913332,5.75255398871e-11,1.12334187091e-17,0.600959968468,0.106968180261,8.78473326747,0.23124927153,9.015982539,-5.15067310368,0.341276073148,0.0115354096469,0.648596213198,0,9.3143270874e-10,0,14.0325229651,0.23124927153,0.610921612196,0.106878384337,0,0,1.53617895314e-17,True
case2,1006,0.2,0.005,1,76.7750765502,78.7750765502,78.7750765502,0,1556.90360182,-0.820711709717,389.733756794,1166.34913332,5.75255398871e-11,1.12334187091e-17,0.600959968468,0.106968180261,8.78473326747,0.23124927153,9.015982539,-5.15067310368,0.341276073148,0.0115354096469,0.648596213198,0,9.3143270874e-10,0,14.0325229651,0.23124927153,0.610921612196,0.106878384337,0,0,1.53617895314e-17,True
case2,1007,0.2,0.005,1,76.7750765502,78.7750765502,78.7750765502,0,1556.90360182,-0.820711709717,389.733756794,1166.34913332,5.75255398871e-11,1.12334187091e-17,0.600959968468,0.106968180261,8.78473326747,0.23124927153,9.015982539,-5.15067310368,0.341276073148,0.0115354096469,0.648596213198,0,9.3143270874e-10,0,14.0325229651,0.23124927153,0.610921612196,0.106878384337,0,0,1.53617895314e-17,True
case2,1008,0.2,0.005,1,76.7750765502,78.7750765502,78.7750765502,0,1556.90360182,-0.820711709717,389.733756794,1166.34913332,5.75255398871e-11,1.12334187091e-17,0.600959968468,0.106968180261,8.78473326747,0.23124927153,9.015982539,-5.15067310368,0.341276073148,0.0115354096469,0.648596213198,0,9.3143270874e-10,0,14.0325229651,0.23124927153,0.610921612196,0.106878384337,0,0,1.53617895314e-17,True
case2,1009,0.2,0.005,1,76.7750765502,78.7750765502,78.7750765502,0,1556.90360182,-0.820711709717,389.733756794,1166.34913332,5.75255398871e-11,1.12334187091e-17,0.600959968468,0.106968180261,8.78473326747,0.23124927153,9.015982539,-5.15067310368,0.341276073148,0.0115354096469,0.648596213198,0,9.3143270874e-10,0,14.0325229651,0.23124927153,0.610921612196,0.106878384337,0,0,1.53617895314e-17,True
case3,1000,0.2,0.005,-1,95.3239994466,-1,96.6666666667,1877.26411827,2207.08342136,11.2333546951,360.552452636,3735.02844169,5.14546627528e-10,2.53226259406e-17,0.566350758271,0.286481468779,7.44952383461,0.272399182152,7.17017259658,-10.4135985403,0.291674656266,0.0124011925317,0.500157156508,0,8.59735393988e-10,0.611326182172,19.597199834,-23.0958071689,1.26142814214,0,0,1838.86279293,2.5362741421e-17,False
