case,seed,noise_T_K,noise_V_V,initial_shift_K,G_factor,G_EP_factor,h_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case2,3004,0.2,0.005,1,1,1,1,70.1315975547,75.2,75.2,211.895148796,1434.57036202,-2.30570484129,384.663178463,1259.49662751,5.66160451854e-11,1.60819708245e-17,0.606603830251,0.0771154252347,8.87486319407,0.62262650191,9.49748969598,-4.78271004437,0.349469942054,0.0113815982054,0.652264100748,0,9.31045462949e-10,0.125565470449,12.0394792664,0.62262650191,0.615047551633,0.0766671199364,0,211.895148796,1.74884520927e-17,0.606603830251,0.0771154252347,8.62885601178,13.56,1,5.06840244532,0.634762381537,0.000609156957001,0,98.6666666667,True,sensor,0.2
case2,3005,0.2,0.005,1,1,1,1,70.1141767025,74.8,74.8,212.226712631,1421.78672843,-2.24089619127,382.257881014,1249.51466386,4.10977918364e-11,1.63047743709e-17,0.606613420542,0.0771101059965,8.85917811321,0.577642628235,9.43682074144,-4.81587834048,0.35000612162,0.0113681462023,0.652196658983,0,9.75738601028e-10,0.126644216265,12.0342530107,0.577642628235,0.614856000346,0.0767259757221,0,212.226712631,1.76047327757e-17,0.606613420542,0.0771101059965,8.62666803009,13.44,1,4.6858232975,0.731279372017,0.000559410170204,0,98.6666666667,True,sensor,0.2
case2,3006,0.2,0.005,1,1,1,1,70.141756928,75.2,75.2,212.043006026,1434.58843672,-2.30266774806,384.687906938,1259.64086806,4.07567313232e-11,1.50763733095e-17,0.606580005703,0.0772807970437,8.87613946686,0.621568484595,9.49770795145,-4.78365619475,0.349463392095,0.0113816345978,0.652417263306,0,9.07146358031e-10,0.128062617257,12.0425270784,0.621568484595,0.615028533635,0.0768331952224,0,212.043006026,1.68382018398e-17,0.606580005703,0.0772807970437,8.63082938455,13.56,1,5.05824307203,0.679863756564,0.000496198850756,0,98.6666666667,True,sensor,0.2
case2,3007,0.2,0.005,1,1,1,1,70.1359088004,75.8,75.8,211.695716606,1453.70124111,-2.40437455437,388.360459313,1274.63212385,4.38262759417e-11,1.51587726746e-17,0.60659347405,0.0772075406485,8.89303311579,0.692669891367,9.58570300716,-4.72259834649,0.348699131732,0.0114016451289,0.652477785018,0,9.92232074282e-10,0.130060156248,12.0407726401,0.692669891367,0.615345097192,0.0766487803006,0,211.695716606,1.73575346804e-17,0.60659347405,0.0772075406485,8.62647200909,13.74,1,5.66409119964,0.704775873388,0.000476712901021,0,98.6666666667,True,sensor,0.2
case2,3008,0.2,0.005,1,1,1,1,70.1655555129,75,75,210.645095848,1428.23472051,-2.26140122272,383.326342895,1253.29207224,4.64979166281e-11,1.55973324534e-17,0.606567978612,0.077337946546,8.86770288509,0.594445960761,9.46214884585,-4.80738751501,0.349695530296,0.0113751345052,0.652214155232,0,9.62781854241e-10,0.126389951857,12.0496666539,0.594445960761,0.614904508046,0.076928774793,0,210.645095848,1.71070839786e-17,0.606567978612,0.077337946546,8.63081486917,13.5,1,4.8344444871,0.765086894587,0.00032336170573,0,98.6666666667,True,sensor,0.2
case2,3009,0.2,0.005,1,1,1,1,70.2157246411,75.6,75.6,209.080008965,1447.4077901,-2.3502882768,386.892355574,1267.24515521,3.60387275578e-11,1.43022529583e-17,0.606520431999,0.0775907247955,8.88662024645,0.658865585908,9.54548583236,-4.75315059344,0.348899477579,0.0113953890307,0.652226225156,0,9.60055146493e-10,0.129901563739,12.0647173923,0.658865585908,0.615164874286,0.0770833246656,0,209.080008965,1.71973438094e-17,0.606520431999,0.0775907247955,8.63152276554,13.68,1,5.38427535892,0.785637994473,0.000443750169448,0,98.6666666667,True,sensor,0.2
case3,3000,0.2,0.005,-1,1,1,1,92.6698837638,95.8,95.8,1947.14851208,2174.66621495,10.083110396,361.626906251,3770.27093118,3.99609234591e-10,2.70551810122e-17,0.567997916125,0.272118514052,7.29377918666,0.421649277106,7.52295405558,-10.289005804,0.294189586925,0.0123483618653,0.500157156508,0,3.66881636182e-10,0.637039206013,18.8009651291,0.421649277106,0.590425767401,0.271157311621,0,1859.49039285,2.70551810122e-17,0.567997916125,0.272118514052,7.29377918666,19.74,1,3.13011623621,0.667220978121,0.00059264166259,0,98.6666666667,True,sensor,0.2
case3,3001,0.2,0.005,-1,1,1,1,92.8235012829,97.2,97.2,1975.41895772,2220.33937959,9.65697180628,370.035252309,3835.38005681,4.33431068814e-10,4.27381654372e-17,0.568222215017,0.271832387096,7.43504086418,0.373171249431,7.80821211362,-9.9910407854,0.292390218381,0.0124087174589,0.500157156508,0,4.16239487322e-10,0.633795919754,18.8470503849,0.373171249431,0.590670337152,0.270316968628,0,1862.80515179,4.27381654372e-17,0.568222215017,0.271832387096,7.35095305802,20.16,1,4.37649871707,0.840362845765,0.000609327359525,0,98.6666666667,True,sensor,0.2
case3,3002,0.2,0.005,-1,1,1,1,92.7352108002,96.2,96.2,1955.33926691,2187.88868385,9.99301656601,363.723079081,3789.49788824,3.78520326194e-10,3.08401307964e-17,0.568143587913,0.272179272583,7.32309401957,0.555165793542,7.60030127534,-10.2190956036,0.293568265498,0.0123626334307,0.50011749525,0,9.89491155678e-10,0.630282356628,18.8205632401,0.555165793542,0.590755985767,0.271118621547,0,1858.32015434,3.08401307964e-17,0.568143587913,0.272179272583,7.32309401957,19.86,1,3.46478919983,0.641614865709,0.000726689165961,0,98.6666666667,True,sensor,0.2
case3,3003,0.2,0.005,-1,1,1,1,92.8126321316,96.8,96.8,1970.03933775,2207.3877788,9.77630764062,367.576466113,3819.62695808,3.79372977477e-10,3.6093090322e-17,0.568094883501,0.27175205514,7.29958216677,0.502779089847,7.73479648749,-10.0756354964,0.29288819335,0.0123884672675,0.500157156508,0,8.70468142011e-10,0.634942362533,18.8437896395,0.502779089847,0.590897186644,0.270312428658,0,1862.72067594,3.6093090322e-17,0.568094883501,0.27175205514,7.29958216677,20.04,1,3.98736786842,0.883834834453,0.00049301833068,0,98.6666666667,True,sensor,0.2
case3,3004,0.2,0.005,-1,1,1,1,92.8096723795,95.8,95.8,1945.3900245,2174.76753811,10.1155186635,361.457972846,3768.81510843,3.68345354218e-10,2.74091730215e-17,0.567916049119,0.272192155579,7.32217577252,0.47442043269,7.51814390339,-10.3012414986,0.294141915901,0.0123476972005,0.500157156508,0,3.87469611951e-10,0.643926743728,18.8429017138,0.47442043269,0.590397063087,0.271190735043,0,1861.33798376,2.74091730215e-17,0.567916049119,0.272192155579,7.32217577252,19.74,1,2.99032762051,0.634761301669,0.000621635136504,0,98.6666666667,True,sensor,0.2
